corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,131,3.1283314173628747,4.56799211883242,4.071414573224906,5.3341101110171225,1.2288390659918496,2.253827310274045,1.572397422261285,2.188343432260829,JPN,NH3,5535,#2196F3,Intermediate,2045
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.54587142037309,4.047899640828771,3.8676366169008425,4.170349531753777,1.4107047858624022,2.152666172078208,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Intermediate,2045
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.322557724055555,3.9233613535744607,3.6771708600784785,5.322689276537226,1.2570414609632254,2.4117503623230814,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Intermediate,2045
EU,EU Domestic,EU Domestic Production,,,27,25,1.5135392138788981,2.6427879951358815,2.3450011938779087,2.9516497846683096,1.5135392138788981,2.6427879951358815,0.0,0.0,IRL,Domestic,330,#009688,Intermediate,2045
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.3194535947723343,3.358855087157936,2.960632959051343,4.018221127266591,1.4154814598630923,1.6773243133473896,0.5999694628032692,1.569074985112832,DZA,H2 Gas,525,#E63946,Intermediate,2050
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,1.9146423692052434,3.844732756141317,3.6158029166992325,4.306865331205934,1.4177351153297333,2.002075939611018,0.21629999999999996,1.7724870839411706,MAR,NH3,1543,#F4A261,Intermediate,2050
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,131,3.0504233562406924,4.329561074971528,3.8500795723288688,5.0423806878273485,1.1576021150028128,2.0126587520567263,1.572397422261285,2.188343432260829,JPN,NH3,5535,#2196F3,Intermediate,2050
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.453389799024315,3.8165930715153698,3.657963455997698,3.939170626225907,1.3299944507723562,1.9526043871170902,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Intermediate,2050
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.2314971643905457,3.707818340404608,3.4791445808854586,5.01395840659249,1.1847744752217222,2.1655017406116186,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Intermediate,2050
EU,EU Domestic,EU Domestic Production,,,27,23,1.4313799998738184,2.427229787974457,2.1242303204234347,2.6893083153259054,1.4313799998738184,2.427229787974457,0.0,0.0,IRL,Domestic,328,#009688,Intermediate,2050
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,3.351878121646166,5.0329108697134295,4.640526639952103,6.478352288117179,2.2423311339826406,3.4303621102960076,0.5999694628032692,1.5522809683692107,MAR,H2 Gas,498,#E63946,Current trajectory,2025
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,3.5508992098722825,5.916819171228067,5.451691751533188,6.816787573931009,2.249566156328331,4.06185646508411,0.21629999999999996,1.7724870839411706,MAR,NH3,1507,#F4A261,Current trajectory,2025
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,127,3.7768766935043,6.30154345690654,5.626539864718309,7.577045228486964,1.833795204467694,4.0413918742993085,1.572397422261285,2.189660178511384,JPN,NH3,5462,#2196F3,Current trajectory,2025
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.3074715978974267,5.370726652091333,4.742312012140268,5.88166009835237,2.087993123574217,3.529764810646913,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Current trajectory,2025
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,3.074872662372522,5.484301847148587,5.1745913915497805,6.878986299527069,1.8687278625781119,4.06052865708378,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Current trajectory,2025
EU,EU Domestic,EU Domestic Production,,,27,23,2.191786570193416,4.147578415004673,3.742014465354673,4.7202834757551635,2.191786570193416,4.147578415004673,0.0,0.0,IRL,Domestic,326,#009688,Current trajectory,2025
