ISO_A3,Year,Capacity_kt,Source
KAZ,2024,64.9,Theoretical growth
USA,2024,211.7,IEA-anchored growth
DZA,2024,55.2,Theoretical growth
ATA,2024,44.0,Theoretical growth
LBY,2024,38.2,Theoretical growth
SAU,2024,233.7,IEA-anchored growth
IND,2024,109.6,IEA-anchored growth
MRT,2024,25.2,IEA-anchored growth
BRA,2024,172.7,IEA-anchored growth
ZAF,2024,34.9,IEA-anchored growth
MEX,2024,17.9,IEA-anchored growth
ARG,2024,17.1,IEA-anchored growth
EGY,2024,57.7,IEA-anchored growth
MAR,2024,210.3,IEA-anchored growth
PER,2024,11.0,IEA-anchored growth
GBR,2024,28.6,IEA-anchored growth
MNG,2024,9.8,Theoretical growth
PAK,2024,9.8,Theoretical growth
TKM,2024,9.8,Theoretical growth
NAM,2024,85.4,IEA-anchored growth
CHL,2024,158.5,IEA-anchored growth
IRN,2024,8.4,Theoretical growth
SDN,2024,7.9,Theoretical growth
GRL,2024,7.9,Theoretical growth
UZB,2024,7.8,IEA-anchored growth
TCD,2024,7.3,Theoretical growth
BWA,2024,6.4,Theoretical growth
NER,2024,5.9,Theoretical growth
COD,2024,5.9,Theoretical growth
NOR,2024,62.3,IEA-anchored growth
MLI,2024,5.0,Theoretical growth
OMN,2024,256.2,IEA-anchored growth
IDN,2024,22.3,IEA-anchored growth
DEU,2024,81.8,IEA-anchored growth
FRA,2024,17.6,IEA-anchored growth
DNK,2024,58.3,IEA-anchored growth
SWE,2024,74.2,IEA-anchored growth
IRL,2024,3.9,IEA-anchored growth
BOL,2024,3.9,Theoretical growth
TUR,2024,3.6,Theoretical growth
AFG,2024,3.2,Theoretical growth
TUN,2024,41.6,IEA-anchored growth
AGO,2024,3.1,Theoretical growth
UKR,2024,3.1,Theoretical growth
ETH,2024,2.9,Theoretical growth
COL,2024,20.2,IEA-anchored growth
NZL,2024,6.6,IEA-anchored growth
ESP,2024,215.6,IEA-anchored growth
NLD,2024,96.9,IEA-anchored growth
SOM,2024,2.5,Theoretical growth
PRT,2024,43.6,IEA-anchored growth
FIN,2024,40.6,IEA-anchored growth
TZA,2024,2.4,Theoretical growth
VEN,2024,2.3,Theoretical growth
NGA,2024,2.3,Theoretical growth
IRQ,2024,2.2,Theoretical growth
JPN,2024,2.2,IEA-anchored growth
MOZ,2024,2.0,Theoretical growth
ZMB,2024,1.9,Theoretical growth
POL,2024,3.1,IEA-anchored growth
YEM,2024,1.7,Theoretical growth
MDG,2024,1.7,Theoretical growth
MMR,2024,1.7,Theoretical growth
SSD,2024,1.6,Theoretical growth
CAF,2024,1.6,Theoretical growth
KEN,2024,1.5,Theoretical growth
PRY,2024,7.9,IEA-anchored growth
ITA,2024,26.3,IEA-anchored growth
THA,2024,1.3,Theoretical growth
PNG,2024,1.2,Theoretical growth
CMR,2024,1.2,Theoretical growth
URY,2024,24.5,IEA-anchored growth
BLR,2024,1.1,Theoretical growth
SYR,2024,1.0,Theoretical growth
ARE,2024,1.0,IEA-anchored growth
PHL,2024,1.0,Theoretical growth
ZWE,2024,0.9,Theoretical growth
COG,2024,0.9,Theoretical growth
MYS,2024,21.7,IEA-anchored growth
ROU,2024,4.8,IEA-anchored growth
VNM,2024,0.8,Theoretical growth
CIV,2024,0.8,Theoretical growth
BFA,2024,0.8,Theoretical growth
GRC,2024,4.2,IEA-anchored growth
GUY,2024,0.7,Theoretical growth
GAB,2024,0.7,Theoretical growth
ECU,2024,0.6,Theoretical growth
UGA,2024,0.6,Theoretical growth
GHA,2024,0.6,Theoretical growth
GIN,2024,0.6,Theoretical growth
SEN,2024,0.6,Theoretical growth
KGZ,2024,0.6,Theoretical growth
TJK,2024,0.6,Theoretical growth
LAO,2024,0.6,Theoretical growth
PRK,2024,0.5,Theoretical growth
ERI,2024,0.5,Theoretical growth
AUT,2024,13.3,IEA-anchored growth
KHM,2024,0.5,Theoretical growth
JOR,2024,14.4,IEA-anchored growth
CZE,2024,0.7,IEA-anchored growth
HUN,2024,0.4,IEA-anchored growth
ISL,2024,2.3,IEA-anchored growth
NPL,2024,0.4,Theoretical growth
LVA,2024,0.4,Theoretical growth
KWT,2024,0.4,Theoretical growth
SUR,2024,0.4,Theoretical growth
BGR,2024,0.4,Theoretical growth
KOR,2024,2.7,IEA-anchored growth
CUB,2024,0.3,Theoretical growth
ESH,2024,0.3,Theoretical growth
BGD,2024,0.3,Theoretical growth
LTU,2024,0.3,Theoretical growth
SRB,2024,7.2,IEA-anchored growth
NIC,2024,0.3,Theoretical growth
AZE,2024,0.3,Theoretical growth
CHE,2024,0.9,IEA-anchored growth
BEN,2024,0.3,Theoretical growth
HND,2024,0.3,Theoretical growth
MWI,2024,0.3,Theoretical growth
GTM,2024,0.3,Theoretical growth
HRV,2024,0.3,Theoretical growth
EST,2024,20.9,IEA-anchored growth
LBR,2024,0.2,Theoretical growth
GEO,2024,0.2,Theoretical growth
DJI,2024,0.2,Theoretical growth
LKA,2024,0.2,Theoretical growth
BEL,2024,4.6,IEA-anchored growth
LSO,2024,0.2,Theoretical growth
QAT,2024,0.2,Theoretical growth
BIH,2024,0.2,Theoretical growth
SLE,2024,0.2,Theoretical growth
PAN,2024,19.0,IEA-anchored growth
MDA,2024,0.2,Theoretical growth
CRI,2024,0.2,IEA-anchored growth
TGO,2024,0.2,Theoretical growth
SVK,2024,1.2,IEA-anchored growth
BTN,2024,0.1,Theoretical growth
TWN,2024,0.1,Theoretical growth
DOM,2024,0.1,Theoretical growth
ISR,2024,0.1,Theoretical growth
ARM,2024,0.1,Theoretical growth
GNB,2024,0.1,Theoretical growth
SLB,2024,0.1,Theoretical growth
SWZ,2024,0.1,Theoretical growth
MKD,2024,0.1,Theoretical growth
ALB,2024,0.1,Theoretical growth
HTI,2024,0.1,Theoretical growth
FJI,2024,0.1,Theoretical growth
GNQ,2024,0.1,Theoretical growth
SVN,2024,2.4,IEA-anchored growth
BDI,2024,0.1,Theoretical growth
RWA,2024,0.1,Theoretical growth
BHS,2024,0.1,Theoretical growth
NCL,2024,0.1,Theoretical growth
FLK,2024,0.1,Theoretical growth
BLZ,2024,0.1,Theoretical growth
SLV,2024,0.1,Theoretical growth
GMB,2024,0.0,Theoretical growth
JAM,2024,0.0,Theoretical growth
ATF,2024,0.0,Theoretical growth
MNE,2024,0.0,Theoretical growth
TLS,2024,0.0,Theoretical growth
TTO,2024,0.0,Theoretical growth
BRN,2024,0.0,Theoretical growth
VUT,2024,0.0,Theoretical growth
LBN,2024,0.0,Theoretical growth
PRI,2024,0.0,Theoretical growth
PSE,2024,0.0,Theoretical growth
CYP,2024,0.0,Theoretical growth
LUX,2024,0.0,Theoretical growth
CHN,2025,637.8,IEA-anchored growth
AUS,2025,1083.5,IEA-anchored growth
RUS,2025,112.3,Theoretical growth
CAN,2025,84.4,IEA-anchored growth
KAZ,2025,81.1,Theoretical growth
USA,2025,264.6,IEA-anchored growth
DZA,2025,69.0,Theoretical growth
ATA,2025,55.0,Theoretical growth
LBY,2025,47.7,Theoretical growth
SAU,2025,292.1,IEA-anchored growth
