,Country code,Risk Free,Country Risk,Equity Risk,Lenders Margin,Technology Risk,Equity Cost,Debt Cost,WACC,Debt Share,Tax Rate,Year
122,SAU,3.7922124685629273,0.5443454756987195,0.9247555431971951,1.258288944777018,3.250230323403351,14.979957823055857,10.443661666253409,9.76983275563921,78.64305904856363,20.0,2024
123,SEN,3.5575698664588566,3.9923116367505527,1.3072426087161868,0.9773349533019257,3.2522203323769374,20.18752639667437,14.308282709314819,13.08667939760446,69.80963952156613,30.0,2024
124,SRB,4.005976352236902,2.9304389930551853,1.1609297854604277,1.24420770547743,3.5184530688486646,18.19547456279018,12.829948756095545,12.860005905078612,73.1886885574959,15.0,2024
125,SHJ,4.5,2.700556680217244,1.1113907980588715,1.4866555205270802,3.8633444794729193,17.521000319821518,12.329410488470122,13.661947478276115,74.33277602635401,0.0,2024
126,SGP,3.888,0.0,0.8659999999999998,1.328,3.2943999999999996,14.18,9.85,9.3764,80.0,17.0,2024
127,SVK,3.769646183982147,1.0883354796386118,0.9835110863943889,1.221120665934611,3.2605697972441643,15.779915646111712,11.03732333250682,10.323183213193923,77.28611809712727,21.0,2024
128,SVN,3.73486743083844,1.079159118509052,0.9835110863943889,1.2056634423151855,3.2346789476816262,15.779915646111712,11.03732333250682,10.237880025738693,77.28611809712727,22.0,2024
129,SLB,3.649163380680812,6.976634349859784,1.6010203247021593,0.8823490867013802,3.456100710330251,24.187315511953656,17.276591040581863,16.565267852274385,63.024934764384305,30.0,2024
130,ZAF,3.6107574340264246,2.6687207433425764,1.1609297854604277,1.06855485293944,2.713111766297569,17.55847456279018,12.192948756095547,11.222074582066439,73.1886885574959,27.0,2024
131,ESP,3.640708228543091,1.4107302274466922,1.0226814485258517,1.1457223619425456,1.7668442208919273,14.563220861482284,9.683097776675757,8.986686487350106,76.3814907961697,25.0,2024
132,LKA,3.786733247139669,11.948994078762842,2.042262933418346,0.739684040003306,3.7623210427071894,30.194841908628035,21.734873749896686,22.279995342031356,52.83457428595043,30.0,2024
133,SXM,3.363745610144876,2.5051468372721963,1.1609297854604277,0.9587718201031963,3.040347960846823,18.19547456279018,12.829948756095545,11.028942013827521,73.1886885574959,34.5,2024
134,VCT,3.6773900619885938,6.036934154045708,1.5030944193735016,0.9401256434416068,3.431882541367054,22.854052473527226,16.287154930159517,15.589426820216467,65.28650301677825,28.0,2024
135,SUR,3.478996056816974,6.695798100347124,1.6010203247021593,0.8067191649841192,3.3294205914538386,24.187315511953656,17.276591040581863,15.911954238304215,63.024934764384305,36.0,2024
136,SWZ,3.7400841982218127,5.142099498934176,1.4051685140448444,1.0132210690375827,3.433323477737239,21.520789435100802,15.297718819737169,14.733896757975657,67.54807126917218,25.0,2024
137,SWE,3.7584000000000004,0.0,0.8659999999999998,1.2704000000000002,3.19792,14.18,9.85,9.09272,80.0,20.6,2024
138,CHE,3.7941070320000003,0.0,0.8659999999999998,1.2862697920000001,3.0149828799439997,13.9315,9.6015,8.961359703944,80.0,19.608138,2024
139,TWN,3.7922124685629273,0.5443454756987195,0.9247555431971951,1.258288944777018,3.250230323403351,14.979957823055857,10.443661666253409,9.76983275563921,78.64305904856363,20.0,2024
140,TJK,3.9711793255640964,6.4571934888130365,1.5030944193735016,1.0706986494751634,3.6505923264732614,22.854052473527226,16.287154930159517,16.652758209699062,65.28650301677825,18.0,2024
